dataset,dim,size,k,r,eps,M
AntiCor,6,100000,1,10,0.1024,11
AntiCor,6,100000,1,20,0.0512,10
AntiCor,6,100000,1,30,0.0512,14
AntiCor,6,100000,1,40,0.0512,17
AntiCor,6,100000,1,50,0.0256,13
AntiCor,6,100000,1,60,0.0256,13
AntiCor,6,100000,1,70,0.0256,14
AntiCor,6,100000,1,80,0.0256,14
AntiCor,6,100000,1,90,0.0256,15
AntiCor,6,100000,1,100,0.0256,17
AntiCor,6,100000,2,50,0.0256,14
AntiCor,6,100000,3,50,0.0256,16
AntiCor,6,100000,4,50,0.0256,17
AntiCor,6,100000,5,50,0.0256,19
AntiCor,4,100000,1,50,0.0064,14
AntiCor,5,100000,1,50,0.0256,14
AntiCor,7,100000,1,50,0.0256,14
AntiCor,8,100000,1,50,0.0256,14
AntiCor,9,100000,1,50,0.0256,14
AntiCor,10,100000,1,50,0.0256,14
AntiCor,6,200000,1,50,0.05,16
AntiCor,6,300000,1,50,0.05,16
AntiCor,6,400000,1,50,0.04,16
AntiCor,6,500000,1,50,0.04,16
AntiCor,6,600000,1,50,0.04,16
AntiCor,6,700000,1,50,0.04,16
AntiCor,6,800000,1,50,0.04,16
AntiCor,6,900000,1,50,0.04,16
AntiCor,6,1000000,1,50,0.04,16
Indep,6,100000,1,10,0.0256,10
Indep,6,100000,1,20,0.0128,11
Indep,6,100000,1,30,0.0128,14
Indep,6,100000,1,40,0.0128,16
Indep,6,100000,1,50,0.0064,14
Indep,6,100000,1,60,0.0064,17
Indep,6,100000,1,70,0.0032,17
Indep,6,100000,1,80,0.0032,18
Indep,6,100000,1,90,0.0032,19
Indep,6,100000,1,100,0.0016,20
Indep,6,100000,2,10,0.0256,12
Indep,6,100000,3,10,0.0256,15
Indep,6,100000,4,10,0.0256,15
Indep,6,100000,5,10,0.0256,17
Indep,4,100000,1,50,0.0001,14
Indep,5,100000,1,50,0.0032,14
Indep,7,100000,1,50,0.0128,14
Indep,8,100000,1,50,0.0128,14
Indep,9,100000,1,50,0.0128,14
Indep,10,100000,1,50,0.0128,14
Indep,6,200000,1,50,0.0064,14
Indep,6,300000,1,50,0.0064,14
Indep,6,400000,1,50,0.0064,15
Indep,6,500000,1,50,0.0064,14
Indep,6,600000,1,50,0.0064,15
Indep,6,700000,1,50,0.0064,14
Indep,6,800000,1,50,0.0064,15
Indep,6,900000,1,50,0.0064,17
Indep,6,1000000,1,50,0.0064,17
